v1_nodeID,v2_nodeID,distance
nodeID+160+5+140,nodeID+155+0+135,8.66
nodeID+160+5+140,nodeID+155+0+140,7.071
nodeID+160+5+140,nodeID+155+0+145,8.66
nodeID+160+5+140,nodeID+155+5+135,7.071
nodeID+160+5+140,nodeID+155+5+140,5.0
nodeID+160+5+140,nodeID+155+5+145,7.071
nodeID+160+5+140,nodeID+155+10+135,8.66
nodeID+160+5+140,nodeID+155+10+140,7.071
nodeID+160+5+140,nodeID+155+10+145,8.66
nodeID+160+5+140,nodeID+160+0+135,7.071
nodeID+160+5+140,nodeID+160+0+140,5.0
nodeID+160+5+140,nodeID+160+0+145,7.071
nodeID+160+5+140,nodeID+160+5+135,5.0
nodeID+160+5+140,nodeID+160+5+145,5.0
nodeID+160+5+140,nodeID+160+10+135,7.071
nodeID+160+5+140,nodeID+160+10+140,5.0
nodeID+160+5+140,nodeID+160+10+145,7.071
nodeID+160+5+140,nodeID+165+0+135,8.66
nodeID+160+5+140,nodeID+165+0+140,7.071
nodeID+160+5+140,nodeID+165+0+145,8.66
nodeID+160+5+140,nodeID+165+5+135,7.071
nodeID+160+5+140,nodeID+165+5+140,5.0
nodeID+160+5+140,nodeID+165+5+145,7.071
nodeID+160+5+140,nodeID+165+10+135,8.66
nodeID+160+5+140,nodeID+165+10+140,7.071
nodeID+160+5+140,nodeID+165+10+145,8.66
nodeID+20+40+55,nodeID+15+35+50,8.66
nodeID+20+40+55,nodeID+15+35+55,7.071
nodeID+20+40+55,nodeID+15+35+60,8.66
nodeID+20+40+55,nodeID+15+40+50,7.071
nodeID+20+40+55,nodeID+15+40+55,5.0
nodeID+20+40+55,nodeID+15+40+60,7.071
nodeID+20+40+55,nodeID+15+45+50,8.66
nodeID+20+40+55,nodeID+15+45+55,7.071
nodeID+20+40+55,nodeID+15+45+60,8.66
nodeID+20+40+55,nodeID+20+35+50,7.071
nodeID+20+40+55,nodeID+20+35+55,5.0
nodeID+20+40+55,nodeID+20+35+60,7.071
nodeID+20+40+55,nodeID+20+40+50,5.0
nodeID+20+40+55,nodeID+20+40+60,5.0
nodeID+20+40+55,nodeID+20+45+50,7.071
nodeID+20+40+55,nodeID+20+45+55,5.0
nodeID+20+40+55,nodeID+20+45+60,7.071
nodeID+20+40+55,nodeID+25+35+50,8.66
nodeID+20+40+55,nodeID+25+35+55,7.071
nodeID+20+40+55,nodeID+25+35+60,8.66
nodeID+20+40+55,nodeID+25+40+50,7.071
nodeID+20+40+55,nodeID+25+40+55,5.0
nodeID+20+40+55,nodeID+25+40+60,7.071
nodeID+20+40+55,nodeID+25+45+50,8.66
nodeID+20+40+55,nodeID+25+45+55,7.071
nodeID+20+40+55,nodeID+25+45+60,8.66
nodeID+160+5+145,nodeID+155+0+140,8.66
nodeID+160+5+145,nodeID+155+0+145,7.071
nodeID+160+5+145,nodeID+155+0+150,8.66
nodeID+160+5+145,nodeID+155+5+140,7.071
nodeID+160+5+145,nodeID+155+5+145,5.0
nodeID+160+5+145,nodeID+155+5+150,7.071
nodeID+160+5+145,nodeID+155+10+140,8.66
nodeID+160+5+145,nodeID+155+10+145,7.071
nodeID+160+5+145,nodeID+155+10+150,8.66
nodeID+160+5+145,nodeID+160+0+140,7.071
nodeID+160+5+145,nodeID+160+0+145,5.0
nodeID+160+5+145,nodeID+160+0+150,7.071
nodeID+160+5+145,nodeID+160+5+140,5.0
nodeID+160+5+145,nodeID+160+5+150,5.0
nodeID+160+5+145,nodeID+160+10+140,7.071
nodeID+160+5+145,nodeID+160+10+145,5.0
nodeID+160+5+145,nodeID+160+10+150,7.071
nodeID+160+5+145,nodeID+165+0+140,8.66
nodeID+160+5+145,nodeID+165+0+145,7.071
nodeID+160+5+145,nodeID+165+0+150,8.66
nodeID+160+5+145,nodeID+165+5+140,7.071
nodeID+160+5+145,nodeID+165+5+145,5.0
